date,rate,Ô¤²â¼Û¸ñ,,,
2021-01-19,,4.2284,,,
2021-01-20,0.003968254,4.240312986,,,
2021-01-21,0.003968254,4.147478447,,,
2021-01-22,0.003968254,4.194089967,,,
2021-01-25,0.011904762,4.15023442,,,
2021-01-26,0.003968254,4.205689238,,,
2021-01-27,0.003968254,4.111191185,,,
2021-01-28,0.003968254,4.058811184,,,
2021-01-29,0.003968254,4.030119724,,,
2021-02-01,0.011904762,4.204592311,,,
2021-02-02,0.003968254,4.103010453,,,
2021-02-03,0.003968254,4.135034336,,,
2021-02-04,0.003968254,4.170851307,,,
2021-02-05,0.003968254,4.185249033,,,
2021-02-08,0.011904762,4.077894465,,,
2021-02-09,0.003968254,4.206652603,,,
2021-02-10,0.003968254,4.165184921,,,
2021-02-11,0.003968254,4.183712918,,,
2021-02-12,0.003968254,4.119034584,,,
2021-02-15,0.011904762,4.018144861,,,
2021-02-16,0.003968254,4.083694949,,,
2021-02-17,0.003968254,4.082110322,,,
2021-02-18,0.003968254,4.15546521,,,
2021-02-19,0.003968254,4.200821515,,,
2021-02-22,0.011904762,4.118314472,,,
2021-02-23,0.003968254,4.13084471,,,
2021-02-24,0.003968254,4.202900481,,,
2021-02-25,0.003968254,4.120400273,,,
2021-02-26,0.003968254,4.161651472,,,
2021-03-01,0.011904762,4.348874394,,,
2021-03-02,0.003968254,4.373081881,,,
2021-03-03,0.003968254,4.463244751,,,
2021-03-04,0.003968254,4.359479921,,,
2021-03-05,0.003968254,4.258874757,,,
2021-03-08,0.011904762,4.189641903,,,
2021-03-09,0.003968254,4.242264105,,,
2021-03-10,0.003968254,4.280738583,,,
2021-03-11,0.003968254,4.315549591,,,
2021-03-12,0.003968254,4.227895429,,,
2021-03-15,0.011904762,4.125234323,,,
2021-03-16,0.003968254,4.060952109,,,
2021-03-17,0.003968254,4.081666594,,,
2021-03-18,0.003968254,4.11822191,,,
2021-03-19,0.003968254,4.146920984,,,
2021-03-22,0.011904762,4.067962612,,,
2021-03-23,0.003968254,4.075735375,,,
2021-03-24,0.003968254,4.1095108,,,
2021-03-25,0.003968254,4.135993761,,,
2021-03-26,0.003968254,4.17699089,,,
2021-03-29,0.011904762,3.940064911,,,
2021-03-30,0.003968254,3.905253986,,,
2021-03-31,0.003968254,3.869277506,,,
2021-04-01,0.003968254,3.917193326,,,
2021-04-02,0.003968254,3.912164757,,,
2021-04-05,0.011904762,4.014301066,,,
2021-04-06,0.003968254,3.971505767,,,
2021-04-07,0.003968254,3.997279316,,,
2021-04-08,0.003968254,3.985553892,,,
2021-04-09,0.003968254,3.927085476,,,
2021-04-12,0.011904762,4.059324162,,,
2021-04-13,0.003968254,4.036463663,,,
2021-04-14,0.003968254,4.051379381,,,
2021-04-15,0.003968254,4.087910909,,,
2021-04-16,0.003968254,4.116716561,,,
2021-04-19,0.011904762,4.213410994,,,
2021-04-20,0.003968254,4.217145703,,,
2021-04-21,0.003968254,4.234490281,,,
2021-04-22,0.003968254,4.371803313,,,
2021-04-23,0.003968254,4.395082998,,,
2021-04-26,0.011904762,4.328342474,,,
2021-04-27,0.003968254,4.260014695,,,
2021-04-28,0.003968254,4.10729634,,,
2021-04-29,0.003968254,4.090906268,,,
2021-04-30,0.003968254,4.172999581,,,
2021-05-03,0.011904762,4.258988149,,,
2021-05-04,0.003968254,4.276945045,,,
2021-05-05,0.003968254,4.264145845,,,
